company,zone,circle,division,subdivision,temporaryAccountId,tempDateOfRegistration,parentAccountId,childAccountCount,dateOfRegistration,plotAreaSqft,noOfFloors,dateOfService,regionType,loadKW,tariff,flag,predicted_flag
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,1009209410,1,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BELGAUM,BAILHONGAL DIVISION,RAMDURG SUB-DIVISION, , ,2277576899,1,25-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E9 NAGAWARA, , ,7049766797,3,24-06-2026,NA,NA,,GBA,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S12 JP NAGAR, , ,3456680727,4,24-06-2026,NA,NA,,GBA,6,LT-1,New Registration & Service Pending,New Registration & Service Pending
CESC,MYSORE,MYSORE O&M CIRCLE,VV MOHALLA DIVISION,VV MOHALLA SUB DIVISION, , ,2778597026,3,25-06-2026,NA,NA,,ULB,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJARAJESHWARINAGARA,W6 BYATARAYANAPURA, , ,9142456966,4,25-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S7 MURGESHPALYA, , ,8378368645,3,25-06-2026,NA,NA,,GBA,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
CESC,MYSORE,MYSORE O&M CIRCLE,NR MOHALLA DIVISION,CENTROL ZONE SUB DIVISION, , ,4905994520,4,25-06-2026,NA,NA,,ULB,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,CHIKKAMAGALURU CIRCLE,KADUR DIVISION,KADUR SUBDIVISION, , ,4445421741,1,25-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,DAVANAGERE,HARIHARA,HARIHARA, , ,7754724835,1,25-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K3 KAGGALIPURA , , ,3280030321,1,25-06-2026,NA,NA,,RLB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,WHITEFIELD,E7 DOORAVANI NAGAR, , ,2825276018,8,24-06-2026,NA,NA,,GBA,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,JAYANAGAR,S6 JPNAGAR, , ,5522362991,5,24-06-2026,NA,NA,,GBA,20,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,BELLARY,CSC BELLARY,BELLARY CSD-2, , ,4386863572,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S12 JP NAGAR, , ,269133860,9,24-06-2026,NA,NA,,GBA,32,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,CHIKKAMAGALURU CIRCLE,CHIKKAMAGALURU DIVISION,CHIKKMAGALURU URBAN SUBDIVISION, , ,2628535441,6,24-06-2026,NA,NA,,ULB,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E8 BANASWADI, , ,1108583093,5,24-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E13 HENNUR SDO, , ,2597886913,10,24-06-2026,NA,NA,,GBA,10,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,BHADRAVATHI DIVISION,BHADRAVATHI CITY SUBDIVISION, , ,2719741198,1,24-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S20  AGARA, , ,5951062953,4,24-06-2026,NA,NA,,GBA,17,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S17 HAL, , ,5535739628,9,24-06-2026,1200,4,,GBA,24,LT-1,Eligible under G.O-2,Eligible under G.O-2
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJAJINAGAR,N10 MUDALAPALYA, , ,3902388328,1,24-06-2026,NA,NA,,GBA,14,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E13 HENNUR SDO, , ,1760208464,8,24-06-2026,NA,NA,,GBA,19,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,UDUPI CIRCLE,UDUPI DIVISION,UDUPI URBAN SUBDIVISION, , ,8194634967,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,JAYANAGAR,S18 CHIKKA KALLASANDRA, , ,5069764353,4,24-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,BELLARY,CSC BELLARY,BELLARY CSD-2, , ,2546833241,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BIJAPUR,BIJAPUR,CITY SUB-DIVISION-1 BIJAPUR, , ,939699716,1,24-06-2026,NA,NA,,ULB,2,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K1 KENGERI , , ,9598503796,2,24-06-2026,NA,NA,,GBA,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S12 JP NAGAR, , ,1538318746,5,24-06-2026,NA,NA,,GBA,11,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E9 NAGAWARA, , ,5513405520,5,24-06-2026,NA,NA,,GBA,5,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S20  AGARA, , ,599543078,9,24-06-2026,NA,NA,,GBA,24,LT-1,New Registration & Service Pending,New Registration & Service Pending
